,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
114,Blaer Orn Asgeirsson,80554,1006,112.0,4.7,
115,Colten Montgomery,35876,1016,113.0,4.67,59.0
116,Connor Rock,73695,1015,114.0,4.62,113.0
117,Mathias Villota,103114,1010,115.0,4.61,
118,Onni Arminen,130692,1006,116.0,4.61,
119,Garett Everson,98164,1018,117.0,4.56,76.0
120,Henric Hagman,59769,1000,118.0,4.49,
121,Jakub Knapek,68237,1014,119.0,4.43,
122,Nick Newton,47689,1008,120.0,4.42,
123,Juho Parviainen,30858,1000,121.0,4.39,
124,Knut Valen Haland,35070,1006,122.0,4.29,87.0
125,Harper Thompson,60259,1016,123.0,4.15,
126,Clint Calvin,84958,1012,124.0,4.04,98.0
127,Clint Calvin,84958,1012,124.0,4.04,98.0
128,Matthew Thompson,125969,1003,125.0,4.03,85.0
129,Oskari Vikstrom,74130,992,126.0,3.98,
130,Noah Meintsma,56555,1005,127.0,3.96,
131,Otto Makinen,159317,1004,128.0,3.89,
132,Eetu Tuominen,131056,1003,129.0,3.86,
133,Max Regitnig,27812,1004,130.0,3.83,94.0
134,Zachary Nash,101197,1007,131.0,3.82,114.0
135,Rasmus Tuominen,104299,1004,132.0,3.71,
136,Zach Melton,38631,1004,133.0,3.71,92.0
137,AJ Carey,61770,1006,134.0,3.68,70.0
138,Fredy Meza,100497,1010,135.0,3.66,97.0
139,Jake Lauber,44782,1004,136.0,3.63,88.0
140,Luukas Rokkanen,64917,1002,137.0,3.6,
141,Lenni Kemppainen,96736,1005,138.0,3.52,
142,Joni Peltonen,94872,1000,139.0,3.5,
143,Jake Wolff,144536,1002,140.0,3.45,
144,Zackeriath Johnson,50312,1006,141.0,3.4,86.0
145,Jasper Heino,57280,1002,142.0,3.36,
146,Dustin Keegan,35187,999,143.0,3.34,112.0
147,Justin Rosak,98161,999,144.0,3.26,109.0
148,John Willis,23844,999,145.0,3.25,105.0
149,Nolan Ramser,90461,1000,146.0,3.07,89.0
150,Reid Frescura,48338,1006,147.0,3.02,99.0
151,Tony Ferro,33551,1008,148.0,2.99,
152,Roni Ronkkonen,121099,996,149.0,2.96,
153,Josef Berg,95050,998,150.0,2.82,
154,Nate Perkins,65737,996,151.0,2.78,108.0
155,Topias Jokinen,,,152.0,2.75,
156,Juho Pylkkanen,,,153.0,2.74,
157,Rasmus Metsamaa,92779,994,154.0,2.74,
158,Jared Stoll,68103,1000,155.0,2.73,
159,Bohdan Bilek,80134,1001,156.0,2.69,118.0
160,Aapo Karhi,82562,1003,157.0,2.65,
161,Jordan Castro,49431,995,158.0,2.62,
162,Nick Hanson,40274,1003,159.0,2.57,
163,Levi Hancock,103050,1003,160.0,2.56,107.0
164,Niko Rattya,,,161.0,2.55,
165,Morten Brenna,79859,999,162.0,2.52,
166,Elijah Bickel,94844,1003,163.0,2.5,102.0
167,Alan Wagner,28550,1008,164.0,2.48,100.0
168,Saku Poikonen,,,165.0,2.36,
169,Ian Burchett,60435,1001,166.0,2.32,
170,Trevor Harbolt,26860,999,167.0,2.29,
171,Matias Kanniainen,135018,991,168.0,2.21,
172,Luke Bayne,166771,997,169.0,2.19,
173,Danny Beauchamp,76153,1002,170.0,2.15,
174,Juhani Vainio,,,171.0,2.13,
175,Trevon Crowe,67172,1003,172.0,2.08,
176,Laurenz Schaurhofer,,,173.0,2.05,
177,Stanislaus Amann,87790,992,174.0,1.98,
178,Jake Brown,140954,1006,175.0,1.97,111.0
179,Paul Puntonen,,,176.0,1.97,
180,Mark Chapalonis,70741,1000,177.0,1.93,
181,Charlie Moore,78268,998,178.0,1.9,
182,Tomi Tikko,,,179.0,1.9,
183,D.W. Hass,94907,993,180.0,1.84,106.0
184,Lance Brown,58644,992,181.0,1.77,
185,Erik Aalto,,,182.0,1.72,
186,Lassi Kahari,,,183.0,1.64,
187,Noah Smithson,,,184.0,1.62,
188,Brady Och,89514,991,185.0,1.55,
189,Tommi Fagerlund,,,186.0,1.43,
190,Dallas Wrinkle,,,187.0,1.39,
191,Tyler Wozniak,,,188.0,1.31,
192,Noah Fiveash,,,189.0,1.29,
193,Cale Leiviska,24341,1031,,,47.0
194,Bartosz Kowalewski,68737,998,,,82.0
195,Jaden Rye,153363,1004,,,95.0
196,Chris Nelson,78697,1024,,,101.0
197,Dylan Seppala,124138,1018,,,104.0
198,Philo Brathwaite,26416,1001,,,115.0
199,Caleb Bruce,101944,998,,,119.0
200,Manabu Kajiyama,8139,1056,,,
201,Dallin Blanchard,72707,1039,,,
202,Timo Hartmann,84690,1035,,,
203,Joe Rovere,30306,1033,,,
204,Darrell Nodland,7225,1030,,,
205,Brock Jensen,69922,1029,,,
206,Alex Geisinger,52063,1027,,,
207,Tetsuya T2 Kikuchi,8145,1026,,,
208,Kim Scott-Wood,19777,1025,,,
