,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
631,Jacob Velasco,118010,994,,,
632,Juho Ikonen,122254,994,,,
633,Andres Ripley,129010,994,,,
634,Garrett Hormel,133782,994,,,
635,Jordan Henshaw,137590,994,,,
636,Marius Gulbrandsen,176840,994,,,
637,Waden Sides,212153,994,,,
638,Paavo Putto,216157,994,,,
639,Kevin McCoy,9453,993,,,
640,Josh Newton,12101,993,,,
641,Chris Sprague,16425,993,,,
642,Marc Burnett,22546,993,,,
643,Tony Ganger,25005,993,,,
644,DeVan Owens,25168,993,,,
645,David Jordan Bretado,26981,993,,,
646,Daniel Riendeau,30286,993,,,
647,David Madruga,32315,993,,,
648,Jerome Braun,35075,993,,,
649,Christian Schmidt,35087,993,,,
650,Justin Cournoyer,37106,993,,,
651,Graham Russell,37909,993,,,
652,Chris Basuino,43371,993,,,
653,Mark Kistner,43592,993,,,
654,Jason Lynn,46394,993,,,
655,Chad Pleasants,46398,993,,,
656,Garrett Tapken,48873,993,,,
657,Jesse Ginthum,49975,993,,,
658,Bryan Peterson,59398,993,,,
659,Darrell Watson,65501,993,,,
660,Ilkka Tikkala,72927,993,,,
661,Chad Larson,73708,993,,,
662,Benjamin Page,74914,993,,,
663,Alexander Lyon,80636,993,,,
664,Cam Zanini,81717,993,,,
665,Topi Kuusisto,81771,993,,,
666,Max Anderson,86682,993,,,
667,Jarod Newcomb,93887,993,,,
668,Ian Hamilton,97422,993,,,
669,Shane McCullen,102040,993,,,
670,Leo Bonnamy,104569,993,,,
671,Kai Kim,109378,993,,,
672,Juuso Timonen,109506,993,,,
673,Taylor Rafaleowski,111099,993,,,
674,Ackson Munachoonga,116558,993,,,
675,Calvin Delamere,128278,993,,,
676,Mark Fedorenko,129032,993,,,
677,Jake Harley,131825,993,,,
678,Justin Chiu,140327,993,,,
679,Alan Janzen,159076,993,,,
680,Taavi Makela,173253,993,,,
681,Yoshiyasu Kajiyama,8141,992,,,
682,Ray Johnson,10355,992,,,
683,Michael Hanson,18429,992,,,
684,Ryan Orton,31364,992,,,
685,Mike Peremba,33492,992,,,
686,Christopher Meyer,34453,992,,,
687,Erik Rasmussen,37945,992,,,
688,James Litchfield,38248,992,,,
689,Aaron Walther,39316,992,,,
690,Kristian Spliid,40430,992,,,
691,Ben Kroll,42963,992,,,
692,Mitch Dickens,46627,992,,,
693,George Beno,49225,992,,,
694,Tobias Soderqvist,54111,992,,,
695,Coby Guice,54549,992,,,
696,Andrew Nilsen,55310,992,,,
697,Christian Olsen,60666,992,,,
698,Mason McKay,60972,992,,,
699,Nicholas Masters,61176,992,,,
700,Mikko Ahjoniemi,63302,992,,,
701,Adrian Zapata,64554,992,,,
702,Robin Binder,67693,992,,,
703,Otto Lehtonen,77462,992,,,
704,Travis James,80232,992,,,
705,Kristo Raik,85483,992,,,
706,Zack Finwall,89111,992,,,
707,Michael Porten,91380,992,,,
708,Jeremy Vaughan,93844,992,,,
709,Nathaniel Isaac,104220,992,,,
710,Ville Kivisilla,118552,992,,,
711,Hunter Vickery,120855,992,,,
712,Colin Bryant,130709,992,,,
713,Benjamin Wagner,135025,992,,,
714,Zach Sisson,152375,992,,,
715,Damien Biegert,162020,992,,,
716,Henrik Haaland,174255,992,,,
717,Petri Hynna,207481,992,,,
718,Rivers Sherrod,6206,991,,,
719,Matt Fausch,11160,991,,,
720,Christopher Farnham,17686,991,,,
721,Todd Rowell,18675,991,,,
722,Patrick Blazek,25325,991,,,
723,Tim Skellenger,26269,991,,,
724,Joshua Riebeling,26826,991,,,
725,Seth White,33182,991,,,
726,Mikko Ylatalo,40560,991,,,
727,Ian Owen,41381,991,,,
728,Robert Lockwood,42236,991,,,
729,Bhrahsten Waugh,45463,991,,,
730,Eric Dobmeier,50462,991,,,
731,Ezra Goodwin,50977,991,,,
732,Noah Jackson,63497,991,,,
733,Kimi Hakkarainen,64024,991,,,
734,Matt Jackson,67783,991,,,
735,Christopher Reed,76275,991,,,
736,William Hannu,78136,991,,,
737,William Hannu,78136,991,,,
738,Benjamin Peliotes,79559,991,,,
739,Jaakko Ikonen,82030,991,,,
740,Tero Jaatinen,83865,991,,,
741,Juan X. Bernal,88702,991,,,
742,Sergio Celis,89499,991,,,
743,Ryan Lemaster,90364,991,,,
744,Ben Mast,90656,991,,,
745,Aidan Guthrie,96832,991,,,
746,Blake Kelly,97155,991,,,
747,Patrick Gray,105261,991,,,
748,Sam Gibson,106189,991,,,
749,Eric Loewen,107410,991,,,
750,Augie Tobish,109072,991,,,
751,Joshua Hatcher,115038,991,,,
752,Elliot Jonsson,115601,991,,,
753,Marcus Cathey,120522,991,,,
754,Will Bratzel,121858,991,,,
755,Connor Whiting,121991,991,,,
756,Nick Robertson,127048,991,,,
757,Jacob Sherman,127195,991,,,
758,Anders Lind,137292,991,,,
759,John Babb,138430,991,,,
760,Richard Hogle,157692,991,,,
761,Nathan Hough,162143,991,,,
762,Ryan Jewell,180216,991,,,
763,Tom Monroe,33,990,,,
764,Richard Koski,6982,990,,,
765,Eric Reppun,8467,990,,,
766,Gary Costa,10298,990,,,
767,Jason Light,16304,990,,,
768,Chris Heeren,18464,990,,,
769,Kevin Gleason,19195,990,,,
770,Derek Metcalf,22212,990,,,
771,Mike Gerads,23148,990,,,
772,Randy Forsander,28735,990,,,
773,Edan Badajos,31776,990,,,
774,Cody Taylor,32158,990,,,
775,Josh Taylor,34256,990,,,
776,Brandon Nelson,38468,990,,,
777,Michael Powell,40622,990,,,
778,Janne Hirsimaki,47516,990,,,
779,A.J. Carl,48136,990,,,
780,Corey Hood,51378,990,,,
781,Peter Van Brussel,53746,990,,,
782,Zack Baskett,54743,990,,,
783,Samuel Henderson,56544,990,,,
784,Ben Clark,62521,990,,,
785,Ryan Dickson,63650,990,,,
786,Johnnie Leigh,64173,990,,,
787,Tim Kuykendall,64372,990,,,
788,Jimmy Martinez,75178,990,,,
789,Maico Rimmel,75444,990,,,
790,Bradley Brown,81343,990,,,
791,Antti Turpeinen,85256,990,,,
792,Nathaniel DeLisle,87305,990,,,
793,Adam Durham,87903,990,,,
794,Justin Zimmer,97611,990,,,
795,Noah Free,99515,990,,,
796,Casey Lyon,102887,990,,,
797,Dylan Wooten,120668,990,,,
798,Joel Binford,124137,990,,,
799,Kyle Gray,127416,990,,,
800,Joona Tuomela,132435,990,,,
801,Kasperi Kivimaki,134628,990,,,
802,Lasse Viilo,138520,990,,,
803,Ville Kankaanpaa,140174,990,,,
804,Tyler Trefethen,157027,990,,,
805,Thomas Kuhn,160096,990,,,
806,Cooke Tarlton,185847,990,,,
